ppb,p_adjusted
0.5,0.030903012291868957
1.0,0.05378284938043372
2.0,0.09158826551869878
3.0,0.12319980905419341
5.0,0.17522296553618225
7.0,0.21954086040720117
10.0,0.27394867572991505
15.0,0.32944429309948176
20.0,0.37152052142407277
30.0,0.433357799936916
50.0,0.5389524589882835
100.0,0.6730052703565934
200.0,0.7837063575354084
