lag_hours,spearman
-8,0.09263918786371138
-7,0.10399515736908828
-6,0.11560418809456945
-5,0.12956335059988414
-4,0.1480584717335137
-3,0.1774222424572905
-2,0.21465648747497632
-1,0.25494982950955974
0,0.2802747485455718
1,0.24413976820044161
2,0.183690541441638
3,0.14440601564754588
4,0.11791899429273567
5,0.10446580999706088
6,0.09004568652839712
7,0.09044567087153134
8,0.09084024206943375
9,0.09866241769791066
10,0.10506709613374328
11,0.10922222383191013
12,0.1234095246843688
