time,predicted_ppb,predicted_category
2026-04-11T08:00:00+0000,1.044,green
2026-04-11T08:15:00+0000,1.093,green
2026-04-11T08:30:00+0000,1.139,green
2026-04-11T08:45:00+0000,1.139,green
2026-04-11T09:00:00+0000,1.138,green
2026-04-11T09:15:00+0000,0.987,green
2026-04-11T09:30:00+0000,1.101,green
2026-04-11T09:45:00+0000,1.273,green
2026-04-11T10:00:00+0000,1.314,green
2026-04-11T10:15:00+0000,1.35,green
2026-04-11T10:30:00+0000,1.121,green
2026-04-11T10:45:00+0000,1.153,green
2026-04-11T11:00:00+0000,1.331,green
2026-04-11T11:15:00+0000,1.384,green
2026-04-11T11:30:00+0000,1.185,green
2026-04-11T11:45:00+0000,1.321,green
2026-04-11T12:00:00+0000,1.367,green
2026-04-11T12:15:00+0000,1.322,green
2026-04-11T12:30:00+0000,1.416,green
2026-04-11T12:45:00+0000,1.358,green
2026-04-11T13:00:00+0000,1.33,green
2026-04-11T13:15:00+0000,1.33,green
2026-04-11T13:30:00+0000,1.259,green
2026-04-11T13:45:00+0000,1.201,green
2026-04-11T14:00:00+0000,1.42,green
2026-04-11T14:15:00+0000,1.339,green
2026-04-11T14:30:00+0000,1.168,green
2026-04-11T14:45:00+0000,1.032,green
2026-04-11T15:00:00+0000,1.214,green
2026-04-11T15:15:00+0000,1.626,green
2026-04-11T15:30:00+0000,1.018,green
2026-04-11T15:45:00+0000,0.513,green
2026-04-11T16:00:00+0000,0.465,green
2026-04-11T16:15:00+0000,0.493,green
2026-04-11T16:30:00+0000,0.538,green
2026-04-11T16:45:00+0000,0.526,green
2026-04-11T17:00:00+0000,0.538,green
2026-04-11T17:15:00+0000,0.536,green
2026-04-11T17:30:00+0000,0.536,green
2026-04-11T17:45:00+0000,0.514,green
2026-04-11T18:00:00+0000,0.514,green
2026-04-11T18:15:00+0000,0.523,green
2026-04-11T18:30:00+0000,0.523,green
2026-04-11T18:45:00+0000,0.549,green
2026-04-11T19:00:00+0000,0.549,green
2026-04-11T19:15:00+0000,0.549,green
2026-04-11T19:30:00+0000,0.524,green
2026-04-11T19:45:00+0000,0.524,green
2026-04-11T20:00:00+0000,0.509,green
2026-04-11T20:15:00+0000,0.509,green
